report_id,project_id,report_date,planned_progress_pct,actual_progress_pct,work_completed_qty,workers_on_site,weather,delay_hours
DPR000001,PRJ001,2025-01-01,22.36,22.83,472.15,100,Clear,0.48
DPR000002,PRJ001,2025-01-02,22.54,23.12,281.04,211,Clear,0.0
DPR000003,PRJ001,2025-01-03,22.73,22.58,276.35,131,Clear,0.0
DPR000004,PRJ001,2025-01-04,22.92,23.43,294.98,65,Cloudy,0.63
DPR000005,PRJ001,2025-01-05,23.11,22.72,215.16,55,Light Rain,1.52
DPR000006,PRJ001,2025-01-06,23.3,23.23,88.69,175,Light Rain,0.0
DPR000007,PRJ001,2025-01-07,23.49,23.66,411.68,149,Clear,0.69
DPR000008,PRJ001,2025-01-08,23.68,23.61,351.06,68,Light Rain,1.4
DPR000009,PRJ001,2025-01-09,23.87,24.2,145.54,96,Clear,0.0
DPR000010,PRJ001,2025-01-10,24.06,24.25,380.92,80,Cloudy,1.76
DPR000011,PRJ001,2025-01-11,24.25,24.34,273.77,187,Clear,0.25
DPR000012,PRJ001,2025-01-12,24.44,24.75,249.5,115,Heavy Rain,0.5
DPR000013,PRJ001,2025-01-13,24.63,24.99,127.43,65,Clear,0.94
DPR000014,PRJ001,2025-01-14,24.82,25.05,178.08,81,Cloudy,1.21
DPR000015,PRJ001,2025-01-15,25.01,25.26,271.69,157,Heavy Rain,0.56
DPR000016,PRJ001,2025-01-16,25.2,24.08,243.6,69,Clear,0.63
DPR000017,PRJ001,2025-01-17,25.39,25.14,57.3,207,Light Rain,2.04
DPR000018,PRJ001,2025-01-18,25.58,103.5,388.17,98,Clear,0.35
DPR000019,PRJ001,2025-01-19,25.77,25.58,319.36,174,Heavy Rain,0.05
DPR000020,PRJ001,2025-01-20,25.95,25.86,238.93,35,Clear,0.02
DPR000021,PRJ001,2025-01-21,26.14,26.27,209.85,63,Clear,0.0
DPR000022,PRJ001,2025-01-22,26.33,26.88,328.68,205,Cloudy,0.61
DPR000023,PRJ001,2025-01-23,26.52,26.85,187.51,137,Cloudy,0.55
DPR000024,PRJ001,2025-01-24,26.71,27.1,235.09,67,Light Rain,0.01
DPR000025,PRJ001,2025-01-25,26.9,26.9,169.6,101,Clear,1.3
DPR000026,PRJ001,2025-01-26,27.09,27.22,285.01,210,Cloudy,0.35
DPR000027,PRJ001,2025-01-27,27.28,27.5,221.59,70,Clear,0.0
DPR000028,PRJ001,2025-01-28,27.47,27.86,90.98,154,Clear,0.79
DPR000029,PRJ001,2025-01-29,27.66,27.7,329.99,91,Clear,1.4
DPR000030,PRJ001,2025-01-30,27.85,27.85,417.98,38,Clear,0.0
DPR000031,PRJ001,2025-01-31,28.04,28.23,157.44,176,Clear,0.52
DPR000032,PRJ001,2025-02-01,28.23,28.51,125.12,60,Cloudy,0.0
DPR000033,PRJ001,2025-02-02,28.42,28.47,306.48,172,Cloudy,1.09
DPR000034,PRJ001,2025-02-03,28.61,29.2,212.86,82,Cloudy,0.64
DPR000035,PRJ001,2025-02-04,28.8,28.79,424.42,213,Clear,0.89
DPR000036,PRJ001,2025-02-05,28.99,29.4,178.39,147,Cloudy,0.81
DPR000037,PRJ001,2025-02-06,29.18,29.39,183.68,184,Light Rain,0.68
DPR000038,PRJ001,2025-02-07,29.36,29.21,470.3,80,Cloudy,0.09
DPR000039,PRJ001,2025-02-08,29.55,29.78,248.87,150,Clear,0.37
DPR000040,PRJ001,2025-02-09,29.74,30.07,149.72,119,Cloudy,0.13
DPR000041,PRJ001,2025-02-10,29.93,30.63,398.14,88,Clear,0.2
DPR000042,PRJ001,2025-02-11,30.12,29.94,389.89,194,Light Rain,0.19
DPR000043,PRJ001,2025-02-12,30.31,30.43,86.49,56,Heavy Rain,0.0
DPR000044,PRJ001,2025-02-13,30.5,30.77,223.15,107,Cloudy,0.0
DPR000045,PRJ001,2025-02-14,30.69,31.38,65.99,208,Light Rain,0.3
DPR000046,PRJ001,2025-02-15,30.88,31.11,330.24,60,Clear,0.0
DPR000047,PRJ001,2025-02-16,31.07,31.49,223.46,128,Cloudy,0.89
DPR000048,PRJ001,2025-02-17,31.26,31.52,476.46,137,Heavy Rain,0.2
DPR000049,PRJ001,2025-02-18,31.45,32.2,358.89,56,Clear,1.15
DPR000050,PRJ001,2025-02-19,31.64,32.05,57.88,215,Cloudy,0.0
DPR000051,PRJ001,2025-02-20,31.83,32.27,405.29,202,Clear,0.92
DPR000052,PRJ001,2025-02-21,32.02,32.74,391.62,186,Cloudy,0.06
DPR000053,PRJ001,2025-02-22,32.21,32.44,426.19,204,Clear,0.53
DPR000054,PRJ001,2025-02-23,32.4,32.25,58.5,52,Clear,0.0
DPR000055,PRJ001,2025-02-24,32.59,32.71,50.5,97,Light Rain,0.17
DPR000056,PRJ001,2025-02-25,32.78,32.89,418.06,155,Light Rain,0.04
DPR000057,PRJ001,2025-02-26,32.96,32.93,76.28,113,Cloudy,0.3
DPR000058,PRJ001,2025-02-27,33.15,33.37,259.36,107,Light Rain,1.63
DPR000059,PRJ001,2025-02-28,33.34,32.74,132.54,150,Light Rain,0.8
DPR000060,PRJ001,2025-03-01,33.53,33.91,113.45,73,Clear,1.07
DPR000061,PRJ001,2025-03-02,33.72,34.0,475.72,192,Cloudy,0.81
DPR000062,PRJ001,2025-03-03,33.91,34.16,424.41,60,Heavy Rain,0.0
DPR000063,PRJ001,2025-03-04,34.1,33.82,133.26,122,Clear,0.0
DPR000064,PRJ001,2025-03-05,34.29,34.16,280.15,156,Light Rain,1.69
DPR000065,PRJ001,2025-03-06,34.48,34.55,57.01,207,Cloudy,0.16
DPR000066,PRJ001,2025-03-07,34.67,34.54,372.27,146,Light Rain,0.0
DPR000067,PRJ001,2025-03-08,34.86,35.13,155.46,59,Clear,0.93
DPR000068,PRJ001,2025-03-09,35.05,34.99,64.41,131,Clear,0.0
DPR000069,PRJ001,2025-03-10,35.24,35.35,322.6,178,Light Rain,1.48
DPR000070,PRJ001,2025-03-11,35.43,36.0,451.32,66,Clear,1.8
DPR000071,PRJ001,2025-03-12,35.62,36.52,121.99,90,Clear,0.0
DPR000072,PRJ001,2025-03-13,35.81,35.57,223.12,160,Clear,0.17
DPR000073,PRJ001,2025-03-14,36.0,35.99,177.58,98,Clear,2.08
DPR000074,PRJ001,2025-03-15,36.19,36.51,306.67,101,Clear,0.1
DPR000075,PRJ001,2025-03-16,36.37,36.35,79.42,174,Clear,0.0
DPR000076,PRJ001,2025-03-17,36.56,36.37,414.31,54,Light Rain,1.28
DPR000077,PRJ001,2025-03-18,36.75,37.13,478.52,116,Clear,0.83
DPR000078,PRJ001,2025-03-19,36.94,36.97,291.7,43,Light Rain,0.0
DPR000079,PRJ001,2025-03-20,37.13,36.97,256.89,133,Heavy Rain,0.32
DPR000080,PRJ001,2025-03-21,37.32,37.67,295.21,126,Clear,0.71
DPR000081,PRJ001,2025-03-22,37.51,37.96,80.96,182,Cloudy,1.6
DPR000082,PRJ001,2025-03-23,37.7,37.75,227.03,195,Cloudy,0.0
DPR000083,PRJ001,2025-03-24,37.89,37.49,209.21,177,Cloudy,1.46
DPR000084,PRJ001,2025-03-25,38.08,38.04,328.15,95,Cloudy,0.0
DPR000085,PRJ001,2025-03-26,38.27,38.78,203.47,133,Clear,1.05
DPR000086,PRJ001,2025-03-27,38.46,38.73,130.47,52,Cloudy,0.21
DPR000087,PRJ001,2025-03-28,38.65,38.85,402.92,214,Cloudy,0.72
DPR000088,PRJ001,2025-03-29,38.84,39.62,455.76,206,Clear,0.55
DPR000089,PRJ001,2025-03-30,39.03,39.05,37.06,149,Cloudy,0.54
DPR000090,PRJ001,2025-03-31,39.22,39.38,365.84,42,Light Rain,0.0
DPR000091,PRJ001,2025-04-01,39.41,39.93,37.44,140,Clear,0.23
DPR000092,PRJ001,2025-04-02,39.6,40.54,286.46,180,Clear,0.0
DPR000093,PRJ001,2025-04-03,39.78,39.89,255.98,74,Heavy Rain,0.0
DPR000094,PRJ001,2025-04-04,39.97,39.99,118.49,134,Cloudy,0.29
DPR000095,PRJ001,2025-04-05,40.16,39.68,395.88,128,Cloudy,0.0
DPR000096,PRJ001,2025-04-06,40.35,40.26,224.12,124,Clear,0.0
DPR000097,PRJ001,2025-04-07,40.54,40.38,388.66,75,Clear,0.7
DPR000098,PRJ001,2025-04-08,40.73,41.63,45.67,189,Cloudy,0.0
DPR000099,PRJ001,2025-04-09,40.92,41.59,107.71,150,Clear,0.0
DPR000100,PRJ001,2025-04-10,41.11,41.45,240.47,158,Cloudy,0.0
DPR000101,PRJ001,2025-04-11,41.3,41.51,118.87,126,Clear,0.95
DPR000102,PRJ001,2025-04-12,41.49,41.84,394.99,98,Heavy Rain,0.62
DPR000103,PRJ001,2025-04-13,41.68,42.17,422.78,198,Clear,0.59
DPR000104,PRJ001,2025-04-14,41.87,42.28,272.9,152,Heavy Rain,2.1
DPR000105,PRJ001,2025-04-15,42.06,42.43,349.08,135,Light Rain,0.05
DPR000106,PRJ001,2025-04-16,42.25,42.71,407.68,90,Clear,0.83
DPR000107,PRJ001,2025-04-17,42.44,43.37,104.31,168,Light Rain,0.0
DPR000108,PRJ001,2025-04-18,42.63,42.8,233.03,133,Clear,0.0
DPR000109,PRJ001,2025-04-19,42.82,43.38,119.27,130,Heavy Rain,1.31
DPR000110,PRJ001,2025-04-20,43.01,43.71,349.99,87,Light Rain,0.91
DPR000111,PRJ001,2025-04-21,43.19,43.61,454.81,150,Light Rain,0.69
DPR000112,PRJ001,2025-04-22,43.38,43.72,435.02,58,Heavy Rain,1.23
DPR000113,PRJ001,2025-04-23,43.57,42.84,238.1,194,Clear,0.33
DPR000114,PRJ001,2025-04-24,43.76,44.47,69.46,106,Light Rain,0.0
DPR000115,PRJ001,2025-04-25,43.95,43.99,307.44,51,Clear,0.0
DPR000116,PRJ001,2025-04-26,44.14,45.07,132.32,41,Cloudy,0.71
DPR000117,PRJ001,2025-04-27,44.33,44.11,140.18,139,Clear,0.0
DPR000118,PRJ001,2025-04-28,44.52,44.6,288.01,44,Light Rain,0.77
DPR000119,PRJ001,2025-04-29,44.71,44.99,124.83,128,Cloudy,0.0
DPR000120,PRJ001,2025-04-30,44.9,45.62,189.82,183,Clear,2.03
DPR000121,PRJ001,2025-05-01,45.09,45.72,455.83,192,Light Rain,0.08
DPR000122,PRJ001,2025-05-02,45.28,45.7,177.73,104,Cloudy,0.0
DPR000123,PRJ001,2025-05-03,45.47,46.04,136.75,177,Clear,0.03
DPR000124,PRJ001,2025-05-04,45.66,45.62,82.75,168,Cloudy,0.44
DPR000125,PRJ001,2025-05-05,45.85,46.1,229.32,86,Cloudy,1.15
DPR000126,PRJ001,2025-05-06,46.04,46.09,64.74,219,Cloudy,1.4
DPR000127,PRJ001,2025-05-07,46.23,46.46,57.62,145,Cloudy,0.0
DPR000128,PRJ001,2025-05-08,46.42,46.5,61.85,216,Light Rain,0.17
DPR000129,PRJ001,2025-05-09,46.6,46.76,225.54,119,Light Rain,0.32
DPR000130,PRJ001,2025-05-10,46.79,47.71,329.83,153,Cloudy,0.0
DPR000131,PRJ001,2025-05-11,46.98,46.98,224.16,151,Cloudy,0.0
DPR000132,PRJ001,2025-05-12,47.17,46.99,130.9,185,Cloudy,0.34
DPR000133,PRJ001,2025-05-13,47.36,48.05,313.94,55,Light Rain,0.12
DPR000134,PRJ001,2025-05-14,47.55,48.58,460.44,173,Clear,1.61
DPR000135,PRJ001,2025-05-15,47.74,48.2,270.58,69,Light Rain,0.87
DPR000136,PRJ001,2025-05-16,47.93,47.95,194.17,198,Cloudy,0.51
DPR000137,PRJ001,2025-05-17,48.12,48.48,172.21,105,Cloudy,0.0
DPR000138,PRJ001,2025-05-18,48.31,48.49,249.1,58,Light Rain,0.0
DPR000139,PRJ001,2025-05-19,48.5,49.05,234.47,116,Clear,1.31
DPR000140,PRJ001,2025-05-20,48.69,49.11,243.03,186,Clear,0.0
DPR000141,PRJ001,2025-05-21,48.88,49.17,174.66,68,Clear,0.69
DPR000142,PRJ001,2025-05-22,49.07,49.69,199.33,85,Clear,0.42
DPR000143,PRJ001,2025-05-23,49.26,49.31,256.58,151,Light Rain,0.0
DPR000144,PRJ001,2025-05-24,49.45,48.79,430.95,153,Light Rain,0.0
DPR000145,PRJ001,2025-05-25,49.64,50.32,71.11,166,Cloudy,0.74
DPR000146,PRJ001,2025-05-26,49.83,50.33,287.83,37,Cloudy,0.0
DPR000147,PRJ001,2025-05-27,50.01,51.03,135.2,71,Light Rain,0.0
DPR000148,PRJ001,2025-05-28,50.2,51.05,431.01,181,Clear,0.44
DPR000149,PRJ001,2025-05-29,50.39,50.67,304.8,151,Clear,0.0
DPR000150,PRJ001,2025-05-30,50.58,51.09,110.56,208,Clear,0.0
DPR000151,PRJ001,2025-05-31,50.77,50.89,214.28,45,Cloudy,0.0
DPR000152,PRJ001,2025-06-01,50.96,51.55,396.33,189,Clear,0.0
DPR000153,PRJ001,2025-06-02,51.15,51.52,336.58,219,Clear,0.0
DPR000154,PRJ001,2025-06-03,51.34,51.25,152.75,185,Clear,0.0
DPR000155,PRJ001,2025-06-04,51.53,51.86,380.23,147,Clear,0.0
DPR000156,PRJ001,2025-06-05,51.72,51.6,36.92,177,Cloudy,0.0
DPR000157,PRJ001,2025-06-06,51.91,52.35,127.56,201,Light Rain,0.0
DPR000158,PRJ001,2025-06-07,52.1,52.38,367.45,130,Clear,1.0
DPR000159,PRJ001,2025-06-08,52.29,52.27,217.47,115,Light Rain,0.11
DPR000160,PRJ001,2025-06-09,52.48,52.55,472.43,123,Clear,0.51
DPR000161,PRJ001,2025-06-10,52.67,53.08,144.41,218,Light Rain,1.16
DPR000162,PRJ001,2025-06-11,52.86,53.63,124.25,170,Clear,1.34
DPR000163,PRJ001,2025-06-12,53.05,53.55,389.25,74,Light Rain,0.48
DPR000164,PRJ001,2025-06-13,53.24,53.48,148.35,202,Clear,0.0
DPR000165,PRJ001,2025-06-14,53.43,53.94,134.99,109,Clear,0.0
DPR000166,PRJ001,2025-06-15,53.61,54.15,319.47,191,Light Rain,1.19
DPR000167,PRJ001,2025-06-16,53.8,54.21,413.69,80,Clear,0.55
DPR000168,PRJ001,2025-06-17,53.99,54.71,171.08,191,Cloudy,0.37
DPR000169,PRJ001,2025-06-18,54.18,54.51,382.47,64,Cloudy,1.03
DPR000170,PRJ001,2025-06-19,54.37,54.71,269.72,208,Cloudy,0.65
