usage_id,project_id,equipment_id,usage_date,operating_hours,idle_hours,available_hours,fuel_consumed_litres,maintenance_cost_myr
USE000001,PRJ001,EQP001,2025-01-01,3.61,6.39,10.0,43.77,0.0
USE000002,PRJ001,EQP001,2025-01-02,1.68,8.32,10.0,17.04,0.0
USE000003,PRJ001,EQP001,2025-01-05,4.12,11.88,16.0,43.5,248.4
USE000004,PRJ001,EQP001,2025-01-06,5.75,4.25,10.0,101.88,0.0
USE000005,PRJ001,EQP001,2025-01-09,14.66,1.34,16.0,98.62,525.38
USE000006,PRJ001,EQP001,2025-01-10,7.78,4.22,12.0,103.19,0.0
USE000007,PRJ001,EQP001,2025-01-11,9.45,0.55,10.0,206.01,0.0
USE000008,PRJ001,EQP001,2025-01-14,4.55,5.45,10.0,91.41,0.0
USE000009,PRJ001,EQP001,2025-01-16,1.63,6.37,8.0,31.18,2021.46
USE000010,PRJ001,EQP001,2025-01-24,2.85,7.15,10.0,27.05,312.41
USE000011,PRJ001,EQP001,2025-01-26,2.34,7.66,10.0,30.19,2827.4
USE000012,PRJ001,EQP001,2025-01-28,3.29,12.71,16.0,53.07,0.0
USE000013,PRJ001,EQP001,2025-01-30,1.65,14.35,16.0,20.07,0.0
USE000014,PRJ001,EQP001,2025-02-01,9.13,2.87,12.0,95.18,0.0
USE000015,PRJ001,EQP001,2025-02-08,14.62,1.38,16.0,104.88,0.0
USE000016,PRJ001,EQP001,2025-02-11,9.73,2.27,12.0,55.16,1812.19
USE000017,PRJ001,EQP001,2025-02-12,18.94,5.06,24.0,181.06,0.0
USE000018,PRJ001,EQP001,2025-02-17,3.11,6.89,10.0,25.59,0.0
USE000019,PRJ001,EQP001,2025-02-18,8.11,1.89,10.0,163.87,0.0
USE000020,PRJ001,EQP001,2025-02-19,2.56,21.44,24.0,36.7,0.0
USE000021,PRJ001,EQP001,2025-02-20,6.21,9.79,16.0,132.23,0.0
USE000022,PRJ001,EQP001,2025-02-24,9.28,2.72,12.0,196.77,899.29
USE000023,PRJ001,EQP001,2025-02-26,3.15,12.85,16.0,35.08,0.0
USE000024,PRJ001,EQP001,2025-02-28,6.22,3.78,10.0,98.01,2420.76
USE000025,PRJ001,EQP001,2025-03-04,5.13,2.87,8.0,81.07,0.0
USE000026,PRJ001,EQP001,2025-03-06,3.29,6.71,10.0,54.68,1789.77
USE000027,PRJ001,EQP001,2025-03-07,10.41,1.59,12.0,53.94,0.0
USE000028,PRJ001,EQP001,2025-03-10,11.18,12.82,24.0,217.93,0.0
USE000029,PRJ001,EQP001,2025-03-13,2.04,7.96,10.0,35.65,0.0
USE000030,PRJ001,EQP001,2025-03-15,2.75,9.25,12.0,59.73,1302.27
USE000031,PRJ001,EQP001,2025-03-16,4.37,7.63,12.0,83.24,0.0
USE000032,PRJ001,EQP001,2025-03-17,5.24,2.76,8.0,48.53,0.0
USE000033,PRJ001,EQP001,2025-03-19,11.5,0.5,12.0,133.66,0.0
USE000034,PRJ001,EQP001,2025-03-22,6.2,9.8,16.0,65.65,0.0
USE000035,PRJ001,EQP001,2025-03-23,9.05,0.95,10.0,77.13,2331.88
USE000036,PRJ001,EQP001,2025-03-25,7.7,0.3,8.0,141.34,0.0
USE000037,PRJ001,EQP001,2025-03-26,7.93,2.07,10.0,127.5,0.0
USE000038,PRJ001,EQP001,2025-03-27,2.77,5.23,8.0,49.14,0.0
USE000039,PRJ001,EQP001,2025-03-29,3.52,8.48,12.0,64.07,0.0
USE000040,PRJ001,EQP001,2025-03-30,7.68,2.32,10.0,60.53,1202.85
USE000041,PRJ001,EQP001,2025-04-01,5.72,4.28,10.0,38.05,0.0
USE000042,PRJ001,EQP001,2025-04-03,25.0,8.38,16.0,94.92,0.0
USE000043,PRJ001,EQP001,2025-04-05,2.23,9.77,12.0,37.8,0.0
USE000044,PRJ001,EQP001,2025-04-09,3.11,4.89,8.0,65.26,0.0
USE000045,PRJ001,EQP001,2025-04-13,7.58,0.42,8.0,149.17,0.0
USE000046,PRJ001,EQP001,2025-04-16,10.08,1.92,12.0,99.38,0.0
USE000047,PRJ001,EQP001,2025-04-20,12.63,3.37,16.0,159.42,0.0
USE000048,PRJ001,EQP001,2025-04-23,3.0,13.0,16.0,37.21,0.0
USE000049,PRJ001,EQP001,2025-04-24,4.47,5.53,10.0,75.25,0.0
USE000050,PRJ001,EQP001,2025-04-28,7.51,2.49,10.0,117.57,0.0
USE000051,PRJ001,EQP001,2025-04-30,2.47,7.53,10.0,47.71,0.0
USE000052,PRJ001,EQP001,2025-05-02,2.93,9.07,12.0,36.92,0.0
USE000053,PRJ001,EQP001,2025-05-03,3.56,6.44,10.0,25.28,0.0
USE000054,PRJ001,EQP001,2025-05-06,11.24,4.76,16.0,213.02,0.0
USE000055,PRJ001,EQP001,2025-05-07,5.49,2.51,8.0,78.72,0.0
USE000056,PRJ001,EQP001,2025-05-13,2.2,5.8,8.0,47.91,0.0
USE000057,PRJ001,EQP001,2025-05-15,2.33,7.67,10.0,48.03,0.0
USE000058,PRJ001,EQP001,2025-05-16,6.99,3.01,10.0,48.14,0.0
USE000059,PRJ001,EQP001,2025-05-22,3.41,6.59,10.0,52.08,0.0
USE000060,PRJ001,EQP001,2025-05-25,5.65,4.35,10.0,117.69,0.0
USE000061,PRJ001,EQP001,2025-05-27,5.69,4.31,10.0,111.29,0.0
USE000062,PRJ001,EQP001,2025-05-28,5.26,2.74,8.0,94.21,0.0
USE000063,PRJ001,EQP001,2025-05-29,6.96,3.04,10.0,82.24,0.0
USE000064,PRJ001,EQP001,2025-05-30,9.54,2.46,12.0,202.71,0.0
USE000065,PRJ001,EQP001,2025-06-02,7.63,2.37,10.0,142.51,0.0
USE000066,PRJ001,EQP001,2025-06-03,5.9,2.1,8.0,74.12,0.0
USE000067,PRJ001,EQP001,2025-06-05,11.89,0.11,12.0,69.85,0.0
USE000068,PRJ001,EQP001,2025-06-08,9.19,14.81,24.0,72.75,1559.43
USE000069,PRJ001,EQP001,2025-06-09,5.6,4.4,10.0,84.77,2723.6
USE000070,PRJ001,EQP001,2025-06-10,12.17,3.83,16.0,168.12,0.0
USE000071,PRJ001,EQP001,2025-06-13,11.86,4.14,16.0,127.03,0.0
USE000072,PRJ001,EQP001,2025-06-15,6.62,1.38,8.0,58.61,0.0
USE000073,PRJ001,EQP001,2025-06-18,5.56,4.44,10.0,103.41,0.0
USE000074,PRJ001,EQP001,2025-06-19,1.98,6.02,8.0,25.4,0.0
USE000075,PRJ001,EQP001,2025-06-20,7.43,2.57,10.0,148.32,0.0
USE000076,PRJ001,EQP001,2025-06-23,15.58,8.42,24.0,273.13,1768.18
USE000077,PRJ001,EQP001,2025-06-27,7.74,0.26,8.0,163.07,0.0
USE000078,PRJ001,EQP001,2025-06-28,4.74,3.26,8.0,98.13,0.0
USE000079,PRJ001,EQP001,2025-06-29,10.27,1.73,12.0,117.68,0.0
USE000080,PRJ001,EQP001,2025-07-04,4.78,3.22,8.0,31.13,0.0
USE000081,PRJ001,EQP001,2025-07-06,8.32,1.68,10.0,124.65,0.0
USE000082,PRJ001,EQP001,2025-07-07,4.7,7.3,12.0,58.79,0.0
USE000083,PRJ001,EQP001,2025-07-08,8.77,3.23,12.0,45.03,0.0
USE000084,PRJ001,EQP001,2025-07-09,6.52,1.48,8.0,93.27,0.0
USE000085,PRJ001,EQP001,2025-07-13,6.54,1.46,8.0,42.99,0.0
USE000086,PRJ001,EQP001,2025-07-16,2.47,9.53,12.0,15.47,1511.76
USE000087,PRJ001,EQP001,2025-07-18,4.09,7.91,12.0,61.15,1354.0
USE000088,PRJ001,EQP001,2025-07-19,10.35,1.65,12.0,86.24,0.0
USE000089,PRJ001,EQP001,2025-07-21,2.57,5.43,8.0,27.07,0.0
USE000090,PRJ001,EQP001,2025-07-22,11.84,4.16,16.0,130.96,2517.61
USE000091,PRJ001,EQP001,2025-07-24,8.45,3.55,12.0,54.9,0.0
USE000092,PRJ001,EQP001,2025-07-27,4.82,5.18,10.0,44.38,0.0
USE000093,PRJ001,EQP001,2025-07-29,10.91,1.09,12.0,230.99,2097.16
USE000094,PRJ001,EQP001,2025-08-03,3.68,12.32,16.0,35.19,1495.41
USE000095,PRJ001,EQP001,2025-08-06,9.57,2.43,12.0,103.95,0.0
USE000096,PRJ001,EQP001,2025-08-08,7.29,2.71,10.0,141.97,0.0
USE000097,PRJ001,EQP001,2025-08-09,7.38,2.62,10.0,90.83,0.0
USE000098,PRJ001,EQP001,2025-08-18,3.59,6.41,10.0,70.99,2300.55
USE000099,PRJ001,EQP001,2025-08-19,4.75,5.25,10.0,38.51,377.52
USE000100,PRJ001,EQP001,2025-08-20,1.9,6.1,8.0,33.81,3144.04
USE000101,PRJ001,EQP001,2025-08-22,4.04,7.96,12.0,38.81,0.0
USE000102,PRJ001,EQP001,2025-08-23,7.97,8.03,16.0,145.1,0.0
USE000103,PRJ001,EQP001,2025-08-29,4.22,5.78,10.0,24.21,2619.03
USE000104,PRJ001,EQP001,2025-08-30,6.87,3.13,10.0,120.67,0.0
USE000105,PRJ001,EQP001,2025-09-06,3.84,12.16,16.0,53.69,2218.05
USE000106,PRJ001,EQP001,2025-09-08,8.16,3.84,12.0,150.55,0.0
USE000107,PRJ001,EQP001,2025-09-09,22.64,1.36,24.0,313.35,0.0
USE000108,PRJ001,EQP001,2025-09-10,1.58,10.42,12.0,17.75,0.0
USE000109,PRJ001,EQP001,2025-09-11,1.68,10.32,12.0,23.35,0.0
USE000110,PRJ001,EQP001,2025-09-13,5.43,2.57,8.0,92.82,2144.77
USE000111,PRJ001,EQP001,2025-09-15,8.24,1.76,10.0,152.41,0.0
USE000112,PRJ001,EQP001,2025-09-16,5.36,6.64,12.0,58.29,0.0
USE000113,PRJ001,EQP001,2025-09-17,8.55,1.45,10.0,181.28,0.0
USE000114,PRJ001,EQP001,2025-09-23,3.11,6.89,10.0,50.64,0.0
USE000115,PRJ001,EQP001,2025-09-30,11.57,12.43,24.0,78.61,0.0
USE000116,PRJ001,EQP001,2025-10-01,3.91,4.09,8.0,35.39,0.0
USE000117,PRJ001,EQP001,2025-10-06,8.39,1.61,10.0,168.17,0.0
USE000118,PRJ001,EQP001,2025-10-07,15.84,0.16,16.0,307.99,0.0
USE000119,PRJ001,EQP001,2025-10-11,11.75,4.25,16.0,81.4,0.0
USE000120,PRJ001,EQP001,2025-10-14,8.15,7.85,16.0,132.39,1171.05
USE000121,PRJ001,EQP001,2025-10-15,6.18,5.82,12.0,67.57,0.0
USE000122,PRJ001,EQP001,2025-10-24,14.33,1.67,16.0,119.03,0.0
USE000123,PRJ001,EQP001,2025-10-25,1.6,8.4,10.0,22.4,0.0
USE000124,PRJ001,EQP001,2025-10-30,18.63,5.37,24.0,151.13,0.0
USE000125,PRJ001,EQP001,2025-10-31,6.88,3.12,10.0,89.42,0.0
USE000126,PRJ001,EQP001,2025-11-02,18.33,5.67,24.0,286.95,0.0
USE000127,PRJ001,EQP001,2025-11-04,14.38,1.62,16.0,98.5,0.0
USE000128,PRJ001,EQP001,2025-11-06,14.16,9.84,24.0,302.86,2370.43
USE000129,PRJ001,EQP001,2025-11-08,7.52,0.48,8.0,144.9,0.0
USE000130,PRJ001,EQP001,2025-11-12,6.73,3.27,10.0,80.98,0.0
USE000131,PRJ001,EQP001,2025-11-14,2.07,9.93,12.0,13.7,0.0
USE000132,PRJ001,EQP001,2025-11-15,5.75,4.25,10.0,77.66,0.0
USE000133,PRJ001,EQP001,2025-11-17,8.86,3.14,12.0,147.87,0.0
USE000134,PRJ001,EQP001,2025-11-19,7.96,2.04,10.0,52.94,0.0
USE000135,PRJ001,EQP001,2025-11-27,20.65,3.35,24.0,417.09,403.93
USE000136,PRJ001,EQP001,2025-11-29,6.13,3.87,10.0,104.31,0.0
USE000137,PRJ001,EQP001,2025-12-03,23.05,0.95,24.0,212.07,0.0
USE000138,PRJ001,EQP001,2025-12-04,4.21,7.79,12.0,34.49,1609.28
USE000139,PRJ001,EQP001,2025-12-06,3.35,4.65,8.0,20.9,0.0
USE000140,PRJ001,EQP001,2025-12-07,7.18,0.82,8.0,47.72,0.0
USE000141,PRJ001,EQP001,2025-12-08,6.45,3.55,10.0,67.22,0.0
USE000142,PRJ001,EQP001,2025-12-09,5.35,4.65,10.0,37.08,0.0
USE000143,PRJ001,EQP001,2025-12-10,3.01,8.99,12.0,55.83,2563.27
USE000144,PRJ001,EQP001,2025-12-12,12.76,11.24,24.0,109.98,0.0
USE000145,PRJ001,EQP001,2025-12-16,5.3,10.7,16.0,27.13,0.0
USE000146,PRJ001,EQP001,2025-12-20,9.69,0.31,10.0,76.07,0.0
USE000147,PRJ001,EQP001,2025-12-23,3.98,12.02,16.0,53.79,243.96
USE000148,PRJ001,EQP001,2025-12-26,8.12,1.88,10.0,109.73,0.0
USE000149,PRJ001,EQP001,2025-12-27,1.83,6.17,8.0,25.63,0.0
USE000150,PRJ001,EQP001,2025-12-28,9.86,0.14,10.0,80.16,3492.06
USE000151,PRJ002,EQP002,2025-01-01,10.62,13.38,24.0,210.73,0.0
USE000152,PRJ002,EQP002,2025-01-02,5.97,2.03,8.0,48.42,2829.51
USE000153,PRJ002,EQP002,2025-01-04,6.56,5.44,12.0,92.62,0.0
USE000154,PRJ002,EQP002,2025-01-05,8.47,3.53,12.0,137.3,0.0
USE000155,PRJ002,EQP002,2025-01-06,3.04,6.96,10.0,53.25,1958.43
USE000156,PRJ002,EQP002,2025-01-09,15.49,0.51,16.0,305.87,0.0
USE000157,PRJ002,EQP002,2025-01-10,1.63,8.37,10.0,29.69,2768.02
USE000158,PRJ002,EQP002,2025-01-11,7.11,0.89,8.0,142.16,0.0
USE000159,PRJ002,EQP002,2025-01-14,2.52,13.48,16.0,22.57,0.0
USE000160,PRJ002,EQP002,2025-01-21,12.84,3.16,16.0,212.83,0.0
USE000161,PRJ002,EQP002,2025-01-22,3.26,8.74,12.0,40.69,0.0
USE000162,PRJ002,EQP002,2025-01-23,4.14,3.86,8.0,36.65,0.0
USE000163,PRJ002,EQP002,2025-01-24,3.12,6.88,10.0,57.3,0.0
USE000164,PRJ002,EQP002,2025-01-26,3.49,8.51,12.0,55.01,2539.63
USE000165,PRJ002,EQP002,2025-01-29,4.32,3.68,8.0,52.74,0.0
USE000166,PRJ002,EQP002,2025-01-30,4.75,3.25,8.0,66.3,0.0
USE000167,PRJ002,EQP002,2025-01-31,6.61,1.39,8.0,72.59,2672.24
USE000168,PRJ002,EQP002,2025-02-03,8.01,3.99,12.0,125.97,2373.05
USE000169,PRJ002,EQP002,2025-02-05,3.85,4.15,8.0,74.27,0.0
USE000170,PRJ002,EQP002,2025-02-06,7.75,0.25,8.0,168.91,0.0
USE000171,PRJ002,EQP002,2025-02-09,5.89,4.11,10.0,126.4,0.0
USE000172,PRJ002,EQP002,2025-02-10,9.13,0.87,10.0,105.3,0.0
USE000173,PRJ002,EQP002,2025-02-12,7.7,0.3,8.0,69.51,0.0
USE000174,PRJ002,EQP002,2025-02-19,6.36,1.64,8.0,55.63,0.0
USE000175,PRJ002,EQP002,2025-02-20,3.89,4.11,8.0,66.82,3488.06
USE000176,PRJ002,EQP002,2025-02-22,9.96,0.04,10.0,202.0,2559.69
USE000177,PRJ002,EQP002,2025-02-26,7.62,2.38,10.0,126.98,0.0
USE000178,PRJ002,EQP002,2025-03-01,10.27,1.73,12.0,134.26,0.0
USE000179,PRJ002,EQP002,2025-03-04,1.93,6.07,8.0,22.96,0.0
USE000180,PRJ002,EQP002,2025-03-09,2.38,9.62,12.0,24.81,0.0
USE000181,PRJ002,EQP002,2025-03-14,15.74,8.26,24.0,330.14,0.0
USE000182,PRJ002,EQP002,2025-03-15,16.47,7.53,24.0,157.41,0.0
USE000183,PRJ002,EQP002,2025-03-18,5.42,6.58,12.0,100.67,0.0
USE000184,PRJ002,EQP002,2025-03-23,5.08,10.92,16.0,111.57,0.0
