cost_id,project_id,contractor_id,material_id,cost_date,cost_category,planned_cost_myr,actual_cost_myr,quantity
CST000001,PRJ001,CON004,,2025-01-01,Labour,610424.58,713078.36,0.0
CST000002,PRJ001,CON010,MAT006,2025-01-02,Material,971641.98,1054921.5,80.72
CST000003,PRJ001,CON013,MAT001,2025-01-03,Material,643186.96,725847.72,82.83
CST000004,PRJ001,CON005,,2025-01-04,Labour,1087308.11,1273724.3,0.0
CST000005,PRJ001,CON016,,2025-01-05,Labour,1014717.45,874465.48,0.0
CST000006,PRJ001,CON014,MAT009,2025-01-06,Material,829801.38,818505.51,127.83
CST000007,PRJ001,CON017,,2025-01-07,Labour,700541.64,706402.65,0.0
CST000008,PRJ001,CON001,MAT008,2025-01-08,Material,820671.19,891906.06,94.15
CST000009,PRJ001,CON017,,2025-01-09,Subcontract,859837.63,911125.49,0.0
CST000010,PRJ001,CON010,,2025-01-10,Labour,1081000.5,1274143.36,0.0
CST000011,PRJ001,CON008,,2025-01-11,Subcontract,1177996.7,1211558.13,0.0
CST000012,PRJ001,CON014,,2025-01-12,Labour,1196337.86,1278884.52,0.0
CST000013,PRJ001,CON008,,2025-01-13,Labour,1088699.04,1166145.61,0.0
CST000014,PRJ001,CON019,,2025-01-14,Equipment,1133837.23,1198232.39,0.0
CST000015,PRJ001,CON016,MAT003,2025-01-15,Material,616950.67,749060.05,21.28
CST000016,PRJ001,CON019,,2025-01-16,Subcontract,1183060.1,1043992.64,0.0
CST000017,PRJ001,CON006,,2025-01-17,Subcontract,639207.53,653600.2,0.0
CST000018,PRJ001,CON018,MAT007,2025-01-18,Material,765343.99,802653.3,85.3
CST000019,PRJ001,CON002,,2025-01-19,Labour,1042128.68,1128210.09,0.0
CST000020,PRJ001,CON003,MAT008,2025-01-20,Material,624076.45,749473.19,50.61
CST000021,PRJ001,CON014,MAT005,2025-01-21,Material,1203287.94,1379716.33,63.24
CST000022,PRJ001,CON002,MAT002,2025-01-22,Material,1081150.59,1317959.08,80.12
CST000023,PRJ001,CON015,,2025-01-23,Subcontract,898617.31,893670.67,0.0
CST000024,PRJ001,CON005,,2025-01-24,Equipment,1053565.82,992366.52,0.0
CST000025,PRJ001,CON011,,2025-01-25,Labour,718867.91,846444.82,0.0
CST000026,PRJ001,CON004,,2025-01-26,Labour,1092449.95,1086042.15,0.0
CST000027,PRJ001,CON014,,2025-01-27,Subcontract,1073331.46,1242208.15,0.0
CST000028,PRJ001,CON018,,2025-01-28,Labour,810111.65,910407.63,0.0
CST000029,PRJ001,CON016,,2025-01-29,Equipment,1047720.05,988402.48,0.0
CST000030,PRJ001,CON019,MAT012,2025-01-30,Material,1056725.28,-250.0,90.85
CST000031,PRJ001,CON011,,2025-01-31,Site Overhead,1128510.98,1076706.6,0.0
CST000032,PRJ001,CON005,MAT011,2025-02-01,Material,1117492.9,1091395.94,73.35
CST000033,PRJ001,CON006,,2025-02-02,Equipment,1210696.23,1098320.03,0.0
CST000034,PRJ001,CON013,,2025-02-03,Equipment,913887.12,921035.82,0.0
CST000035,PRJ001,CON018,MAT009,2025-02-04,Material,1050072.04,1275462.48,128.66
CST000036,PRJ001,CON017,,2025-02-05,Labour,1072503.05,1173203.75,0.0
CST000037,PRJ001,CON007,,2025-02-06,Labour,963196.46,1088690.65,0.0
CST000038,PRJ001,CON010,MAT003,2025-02-07,Material,842433.41,990163.99,89.09
CST000039,PRJ001,CON004,,2025-02-08,Equipment,1071568.71,1094383.25,0.0
CST000040,PRJ001,CON004,MAT009,2025-02-09,Material,916844.05,862644.89,35.25
CST000041,PRJ001,CON011,,2025-02-10,Subcontract,969932.83,853898.14,0.0
CST000042,PRJ001,CON008,,2025-02-11,Subcontract,757225.5,847409.87,0.0
CST000043,PRJ001,CON015,,2025-02-12,Labour,1167283.33,1192688.61,0.0
CST000044,PRJ001,CON017,MAT006,2025-02-13,Material,1038413.28,898487.17,61.33
CST000045,PRJ001,CON004,,2025-02-14,Labour,981939.1,1159293.29,0.0
CST000046,PRJ001,CON001,,2025-02-15,Labour,1118262.06,1291620.51,0.0
CST000047,PRJ001,CON002,,2025-02-16,Labour,802809.93,723557.39,0.0
CST000048,PRJ001,CON017,,2025-02-17,Equipment,899517.56,906601.49,0.0
CST000049,PRJ001,CON019,MAT009,2025-02-18,Material,993634.22,978473.26,140.09
CST000050,PRJ001,CON011,,2025-02-19,Labour,1201469.23,1221675.01,0.0
CST000051,PRJ001,CON016,,2025-02-20,Subcontract,1197099.05,1260407.98,0.0
CST000052,PRJ001,CON006,MAT009,2025-02-21,Material,1181023.98,1209828.11,19.19
CST000053,PRJ001,CON018,,2025-02-22,Equipment,649072.25,655653.24,0.0
CST000054,PRJ001,CON016,,2025-02-23,Labour,689676.21,770666.23,0.0
CST000055,PRJ001,CON001,,2025-02-24,Site Overhead,865520.74,896950.19,0.0
CST000056,PRJ001,CON002,MAT009,2025-02-25,Material,799487.96,867177.52,96.18
CST000057,PRJ001,CON005,MAT003,2025-02-26,Material,776450.34,734755.48,76.56
CST000058,PRJ001,CON015,,2025-02-27,Equipment,590501.49,564990.54,0.0
CST000059,PRJ001,CON020,MAT007,2025-02-28,Material,1112736.06,1258033.74,150.73
CST000060,PRJ001,CON011,MAT007,2025-03-01,Material,1098929.6,1115475.8,10.67
CST000061,PRJ001,CON003,MAT004,2025-03-02,Material,911435.86,832915.61,121.89
CST000062,PRJ001,CON019,,2025-03-03,Labour,1191794.26,1214786.06,0.0
CST000063,PRJ001,CON016,,2025-03-04,Site Overhead,1157310.25,1164550.64,0.0
CST000064,PRJ001,CON017,,2025-03-05,Labour,634972.33,627444.34,0.0
CST000065,PRJ001,CON001,MAT001,2025-03-06,Material,1195608.76,1397714.89,84.85
CST000066,PRJ001,CON006,,2025-03-07,Labour,914586.18,842980.63,0.0
CST000067,PRJ001,CON006,,2025-03-08,Site Overhead,1209504.38,1145790.06,0.0
CST000068,PRJ001,CON014,,2025-03-09,Labour,824040.86,840940.54,0.0
CST000069,PRJ001,CON002,,2025-03-10,Labour,849763.55,802815.31,0.0
CST000070,PRJ001,CON014,,2025-03-11,Subcontract,1054902.03,1110898.17,0.0
CST000071,PRJ001,CON009,,2025-03-12,Subcontract,687249.78,810583.37,0.0
CST000072,PRJ001,CON006,,2025-03-13,Labour,1162800.82,1058115.75,0.0
CST000073,PRJ001,CON017,,2025-03-14,Labour,1094791.86,1171717.94,0.0
CST000074,PRJ001,CON004,,2025-03-15,Labour,1069131.66,958541.35,0.0
CST000075,PRJ001,CON012,MAT007,2025-03-16,Material,1118741.11,1149103.31,122.67
CST000076,PRJ001,CON016,,2025-03-17,Subcontract,1015756.6,991293.7,0.0
CST000077,PRJ001,CON005,MAT001,2025-03-18,Material,737413.84,848475.66,76.05
CST000078,PRJ001,CON013,MAT012,2025-03-19,Material,583942.54,668092.86,22.09
CST000079,PRJ001,CON019,MAT006,2025-03-20,Material,717816.67,797818.46,88.27
CST000080,PRJ001,CON005,,2025-03-21,Equipment,624171.86,692652.45,0.0
CST000081,PRJ001,CON005,,2025-03-22,Labour,602750.12,654498.63,0.0
CST000082,PRJ001,CON011,,2025-03-23,Equipment,727745.32,833496.92,0.0
CST000083,PRJ001,CON006,MAT010,2025-03-24,Material,758946.67,697892.82,15.57
CST000084,PRJ001,CON020,,2025-03-25,Subcontract,632236.18,660589.2,0.0
CST000085,PRJ001,CON008,,2025-03-26,Labour,603191.69,588732.25,0.0
CST000086,PRJ001,CON003,,2025-03-27,Labour,788051.85,793726.26,0.0
CST000087,PRJ001,CON011,MAT012,2025-03-28,Material,895926.29,905269.95,62.35
CST000088,PRJ001,CON001,,2025-03-29,Site Overhead,625495.58,669869.79,0.0
CST000089,PRJ001,CON017,MAT003,2025-03-30,Material,1060090.08,1284811.37,89.7
CST000090,PRJ001,CON010,,2025-03-31,Labour,1080034.98,1014980.24,0.0
CST000091,PRJ001,CON017,MAT007,2025-04-01,Material,932737.39,842297.31,67.59
CST000092,PRJ001,CON019,,2025-04-02,Labour,1202286.56,1111396.64,0.0
CST000093,PRJ001,CON019,MAT005,2025-04-03,Material,644142.3,599625.03,63.04
CST000094,PRJ001,CON019,MAT006,2025-04-04,Material,778789.14,933389.25,128.72
CST000095,PRJ001,CON018,MAT004,2025-04-05,Material,1110743.13,1081984.29,152.14
CST000096,PRJ001,CON008,,2025-04-06,Subcontract,637078.95,615471.44,0.0
CST000097,PRJ001,CON017,MAT004,2025-04-07,Material,890544.95,1074319.87,92.52
CST000098,PRJ001,CON003,,2025-04-08,Labour,1072808.59,971677.66,0.0
CST000099,PRJ001,CON004,MAT009,2025-04-09,Material,924172.76,1087372.24,46.02
CST000100,PRJ001,CON010,,2025-04-10,Labour,618566.83,672845.64,0.0
CST000101,PRJ001,CON011,,2025-04-11,Equipment,835289.57,791354.12,0.0
CST000102,PRJ001,CON013,MAT009,2025-04-12,Material,840209.37,885656.21,16.47
CST000103,PRJ001,CON005,MAT012,2025-04-13,Material,1105538.18,1066770.85,37.29
CST000104,PRJ001,CON002,MAT012,2025-04-14,Material,1134897.8,1329007.76,145.98
CST000105,PRJ001,CON001,,2025-04-15,Subcontract,1035911.08,1015552.72,0.0
CST000106,PRJ001,CON013,MAT010,2025-04-16,Material,1072820.25,1088118.95,151.25
CST000107,PRJ001,CON017,,2025-04-17,Equipment,699729.1,708559.17,0.0
CST000108,PRJ001,CON017,MAT010,2025-04-18,Material,903126.21,900282.84,126.4
CST000109,PRJ001,CON015,,2025-04-19,Labour,1197467.22,1438654.56,0.0
CST000110,PRJ001,CON011,,2025-04-20,Subcontract,1138240.68,1188300.74,0.0
CST000111,PRJ001,CON010,,2025-04-21,Subcontract,760874.99,887156.62,0.0
CST000112,PRJ001,CON009,,2025-04-22,Labour,1134994.06,1197181.15,0.0
CST000113,PRJ001,CON008,MAT011,2025-04-23,Material,1164930.36,1177227.85,99.31
CST000114,PRJ001,CON005,,2025-04-24,Labour,953458.04,1029725.76,0.0
CST000115,PRJ001,CON001,MAT003,2025-04-25,Material,1145234.52,1271646.33,9.25
CST000116,PRJ001,CON018,,2025-04-26,Labour,629888.14,578406.45,0.0
CST000117,PRJ001,CON017,,2025-04-27,Equipment,984019.24,1073254.72,0.0
CST000118,PRJ001,CON006,,2025-04-28,Subcontract,792395.65,773380.38,0.0
